Aberdeen City-South Dakota,"(45.4646985, -98.4864829)"
Arizona Health Facilities Auth,"(34.0489281, -111.0937311)"
Arizona School Facilities Bd,"(34.0489281, -111.0937311)"
Arizona Transportation Board,"(34.0489281, -111.0937311)"
Arkansas,"(35.20105, -91.8318334)"
Arkansas Development Fin Auth,"(35.20105, -91.8318334)"
Arlington Co-Virginia,"(38.8816208, -77.09098089999999)"
Arlington County Industrial,"(33.1288398, -96.7686782)"
Arlington Heights Park Dt,"(49.91129300000001, -97.1625339)"
Arlington Higher Ed Fin Corp,"(38.8799697, -77.1067698)"
Arlington Independent Sch Dist,"(32.654812, -97.0714519)"
"Armstrong County,Pennsylvania","(40.8790518, -79.4703885)"
Ashland City-Oregon,"(42.1945758, -122.7094767)"
Ashtabula Co (Jefferson) ALSD,"(41.8650534, -80.7898089)"
Ashwaubenon Village Wisconsin,"(44.4822137, -88.0701033)"
Atascosa Co (Lytle) ISD,"(29.2333962, -98.8021595)"
Athens Area School District,"(41.8807801, -76.5950555)"
Athens City SD,"(55.9613248, -3.1922638)"
Atlanta City-Georgia,"(33.7489954, -84.3879824)"
Atlanta Development Authority,"(33.850079, -84.24994099999999)"
Atlantic City-New Jersey,"(39.3642834, -74.4229266)"
Auburn City-Maine,"(44.0978509, -70.2311655)"
Auburn-Washington,"(47.30732279999999, -122.2284532)"
Augusta City-Georgia,"(33.4734978, -82.0105148)"
Augusta City-Maine,"(44.3106241, -69.7794897)"
"Aurora Town,New York","(42.7539591, -76.7024485)"
Austin City-Texas,"(30.267153, -97.7430608)"
Avon Lake City-Ohio,"(41.5053178, -82.02820009999999)"
Avondale School District,"(42.6344165, -83.1596589)"
Babylon Town-New York,"(40.6956552, -73.3256753)"
Baldwin Co-Alabama,"(30.6010744, -87.77633329999999)"
Ball-Chatham Comm Unit SD #5,"(39.6744187, -89.69550799999999)"
Ballinger-Texas,"(31.7382062, -99.9473077)"
Baltimore Co-Maryland,"(39.4647665, -76.7336521)"
Baltimore Mayor & City Council,"(39.3222237, -76.6226137)"
Bangor City-Maine,"(44.80118210000001, -68.77781379999999)"
Baraboo City-Wisconsin,"(43.4710944, -89.74429060000001)"
Barrington Boro-New Jersey,"(39.8643019, -75.0936001)"
Barrington Park Dt,"(36.1172064, -80.11538139999999)"
Bastrop Co (Bastrop) ISD,"(30.132021, -97.4288969)"
Battery Park City Authority,"(40.7131174, -74.01548120000001)"
Bay Area Wtr Sup Conserv Agy,"(37.7136168, -122.2503682)"
Bay Co-Florida,"(30.1805306, -85.684578)"
Bayfield Co (Drummond) ASD,"(37.2255593, -107.5981123)"
Bayonne City-New Jersey,"(40.6687141, -74.1143091)"
Beaumont City Texas,"(30.080174, -94.1265562)"
Beaver Dam City-Wisconsin,"(43.4577692, -88.837329)"
Beaver SD BOE,"(38.2779083, -112.6414671)"
Bedford Park Village-Illinois,"(41.7641723, -87.7812524)"
Bel Aire-Kansas,"(37.7708346, -97.25989129999999)"
Bell Gardens Comm Redev Agency,"(33.9652918, -118.1514588)"
Bellevue Village-Wisconsin,"(44.4643249, -87.9563148)"
Bellingham City,"(48.74908, -122.4781473)"
Beloit City-Wisconsin,"(42.5083482, -89.03177649999999)"
Belton City-Missouri,"(38.8119527, -94.5318982)"
Bensenville Village-Illinois,"(41.9550296, -87.94006569999999)"
Benton City-Arkansas,"(34.5645371, -92.586828)"
Bergen County Improvement,"(40.8766278, -74.0424107)"
"Bergen County, New Jersey","(40.9262762, -74.07701)"
Berkeley Co Pub Serv Sewer Dt,"(39.7768011, -105.0382076)"
Berkeley Co Public Service Dt,"(39.7768011, -105.0382076)"
Berks Co-Pennsylvania,"(40.3451566, -75.9927652)"
Bertie Co-North Carolina,"(36.0245185, -76.964306)"
Bethlehem City-Pennsylvania,"(40.6259316, -75.37045789999999)"
Bexar Co (East Central) ISD,"(29.3934197, -98.265058)"
Bexar Co (So San Antonio) ISD,"(29.3517488, -98.547145)"
Big Lake City-Minnesota,"(45.3331421, -93.7335062)"
Billings City-Montana,"(45.7832856, -108.5006904)"
Binghamton City-New York,"(42.09868669999999, -75.91797380000001)"
Birmingham Civic Center,"(42.5666583, -83.1536407)"
Biron-Wisconsin,"(44.4238544, -89.780401)"
Bladen Co-North Carolina,"(34.5882404, -78.5660852)"
Blair City-Nebraska,"(41.5446975, -96.1350702)"
Bleckley-Cochran Dev Auth,"(32.4087854, -83.3789389)"
Bloom-Carroll Local Sch Dist,"(39.7827094, -82.7023383)"
Bloomfield Hills City-Michigan,"(42.583645, -83.24548829999999)"
Bloomfield Twp Parking Auth,"(40.801983, -74.196485)"
Bloomfield Twp-New Jersey,"(40.8067546, -74.1854209)"
BloomfieldCharterTwp-Michigan,"(42.5793103, -83.2827093)"
Blooming Prairie ISD #756,"(33.1797946, -96.7671409)"
Bloomington City-Illinois,"(40.4842027, -88.99368729999999)"
Blount Co-Tennessee,"(35.6710541, -83.8473015)"
Boise State University,"(43.6036004, -116.2087065)"
Bolingbrook Park Dt,"(41.7340817, -88.04015009999999)"
Bond Co (Mulberry Grove)CUSD#1,"(39.8736582, -106.6878099)"
Boone Twp School Bldg Corp,"(36.216795, -81.6745517)"
Borger City-Texas,"(35.6678203, -101.3973876)"
Bothell City-Washington,"(47.7623204, -122.2054035)"
Box Butte Co PSD #006,"(42.19114709999999, -103.0817903)"
Boynton Beach City-Florida,"(26.5317866, -80.0905465)"
Brazoria Co (Pearland) ISD,"(29.564987, -95.2764574)"
Brecksville-Broadview Hts SD,"(41.31977630000001, -81.62679039999999)"
Bremen Public Schools,"(41.4372072, -86.15482689999999)"
"Bremerton,Washington","(47.5673202, -122.6329356)"
Brevard Co School Board,"(35.23681, -82.74302)"
Brick Twp-New Jersey,"(40.0578384, -74.1371832)"
Bridgeport Boro-Pennsylvania,"(40.1057616, -75.34407399999999)"
Bridgewater-Raritan RSD,"(40.5939636, -74.6049061)"
Brillion Public School Dt,"(44.1772137, -88.0642658)"
Bristol Indus Development Auth,"(51.454513, -2.58791)"
"Bristol Township, Pennsylvania","(40.1259492, -74.86825689999999)"
Bristow Hospital Authority,"(38.723303, -77.5367043)"
Brookhaven Town-New York,"(40.7792653, -72.9153827)"
BroomfieldCityandCo-Colorado,"(39.9205411, -105.0866504)"
Broward Co-Florida,"(26.190096, -80.365865)"
Brown Co-Wisconsin,"(44.45616740000001, -87.9334803)"
Brown Deer Village-Wisconsin,"(43.1633426, -87.9645321)"
Brunswick Co-North Carolina,"(34.0275398, -78.2020387)"
Bucks Co-Pennsylvania,"(40.4107964, -75.2479061)"
"Bucks County Ind Dev Auth,PA","(41.2033216, -77.1945247)"
Buffalo City-New York,"(42.88644679999999, -78.8783689)"
Bulloch County School Dist GA,"(32.3595678, -81.77870209999999)"
Buncombe Co-North Carolina,"(35.59313770000001, -82.4752757)"
Burbank-Glndl-Psdna Airport Au,"(34.1965892, -118.3542215)"
Bureau Co (Hall) THSD #502,"(41.9266265, -88.9707914)"
Burlington City-Iowa,"(40.8076529, -91.1128901)"
Burlington City-Vermont,"(44.4758825, -73.21207199999999)"
"Burlington,Wisconsin","(42.6780726, -88.27620259999999)"
Butler Co-Iowa,"(42.7502186, -92.8577105)"
Butler County Ohio,"(39.440463, -84.5222189)"
Calera City-Alabama,"(33.1028965, -86.7535975)"
California,"(36.778261, -119.4179324)"
California Affordable Hsg Agcy,"(36.778261, -119.4179324)"
California Earthquake Auth,"(36.778261, -119.4179324)"
California Educational Facs,"(36.778261, -119.4179324)"
California Housing Finance,"(38.5780708, -121.5014973)"
California Municipal Fin Auth,"(36.778261, -119.4179324)"
California School Finance Auth,"(34.0505926, -118.247931)"
California Statewide CDA (CSCD,"(36.778261, -119.4179324)"
Calumet Co (Appleton) ASD,"(41.6155909, -87.5294871)"
Cambridge-Isanti ISD #911,"(45.5656755, -93.2258999)"
Camden Co (Camdenton) RSD #3,"(38.0154147, -92.7414191)"
Camden Co Improvement Auth,"(39.9021937, -74.9968543)"
"Camden County, New Jersey","(39.8592439, -75.0143824)"
Campbell Co-Tennessee,"(36.3817326, -84.1857115)"
Canby City-Minnesota,"(44.7088525, -96.2764335)"
Cando City-North Dakota,"(48.4866681, -99.20985929999999)"
Carmel-By-the-Sea-California,"(36.5552386, -121.9232879)"
"Cayuga County,New York","(42.7655231, -76.5488232)"
Cedar Hill ISD,"(38.3596866, -90.63533799999999)"
Cedar Park City-Texas,"(30.505198, -97.8202888)"
Cedar Rapids City-Iowa,"(41.9778795, -91.6656232)"
"Cedarburg, Ozaukee Co SD","(43.2966716, -87.9875898)"
Centre Co-Pennsylvania,"(40.8765649, -77.8367282)"
Cerritos Community College Dt,"(33.8583483, -118.0647871)"
Champaign Co CCSD #142,"(40.1164204, -88.2433829)"
Champaign(MahometSeymour)CUSD3,"(40.1164204, -88.2433829)"
Channahon Park Dt,"(41.437658, -88.217157)"
Channahon Village-Illinois,"(41.4294753, -88.2286735)"
Chanute City-Kansas,"(37.6792135, -95.4572034)"
Chariton City-Iowa,"(41.0199996, -93.31409850000001)"
Charles Town-West Virginia,"(39.28899029999999, -77.8597175)"
Charleston Co-South Carolina,"(32.7956561, -79.7848422)"
Charlotte City-North Carolina,"(35.2270869, -80.8431267)"
"Chaska, Minnesota","(44.7893446, -93.60183889999999)"
Chautauqua Co (Brocton) CSD,"(39.9971884, -105.2794615)"
Chautauqua Co (Dunkirk) SD,"(39.9971884, -105.2794615)"
Chautauqua Co (Sherman) CSD,"(42.1615918, -79.5936574)"
Chesapeake City-Virginia,"(36.7682088, -76.2874927)"
Chester Co (Coatesville) ASD,"(39.978889, -75.865555)"
Chester Co Industrial Dev Auth,"(53.193392, -2.893075)"
Chester Co-Pennsylvania,"(40.0010204, -75.8069082)"
Cheyenne Co (Sidney) PSD #1,"(38.8002562, -102.6216211)"
Chicago City-Illinois,"(41.8781136, -87.6297982)"
Chippewa Co (Bloomer) SD,"(46.3117082, -84.59320939999999)"
Chippewa Co (Cadott) CSD,"(46.3117082, -84.59320939999999)"
"Chippewa Falls,Wisconsin","(44.9369054, -91.39293479999999)"
Choctaw Co-Mississippi,"(33.3914427, -89.28472510000002)"
Cibolo Canyons Special Imp Dt,"(29.561618, -98.2269553)"
Cincinnati Metropolitan Hsg Au,"(39.1031182, -84.5120196)"
Cinco MUD #1,"(29.7421468, -95.74896269999999)"
Clackamas Co (West Linn)SD#3JT,"(45.4076205, -122.5703692)"
ClackamasCo(OregonCity)SD#62,"(45.3573429, -122.6067583)"
Claremore Public Works Auth,"(36.3125963, -95.61609)"
Clarion City-Iowa,"(42.7316387, -93.732992)"
Clark Co Public Utility Dt #1,"(40.7054117, -106.9192556)"
Clark Co-Washington,"(45.7466471, -122.5194378)"
Clay Co (Hawley) ISD #150,"(46.8834548, -96.3200036)"
Clayton Co & Co Water Auth,"(39.7660562, -104.9476466)"
Clayton School District,"(39.649931, -75.096796)"
"Clear Lake, Iowa","(43.1435564, -93.3788108)"
Cleveland City-Ohio,"(41.49932, -81.6943605)"
Cleveland Co ESD #16,"(41.49932, -81.6943605)"
Cleveland Cuyahoga County Port,"(41.503761, -81.689168)"
Cleveland Town-Alabama,"(33.9909316, -86.5774905)"
Clinton City-Iowa,"(41.8444735, -90.1887379)"
Clinton Co (Bartelso) SD #57,"(38.5511369, -89.4646698)"
Clinton Comm Unit Sch Dt #15,"(37.7341319, -88.339011)"
Clinton-Macomb Pub Library,"(42.5988707, -82.9298259)"
Cloquet City-Minnesota,"(46.7217735, -92.46118249999999)"
Closter Boro-New Jersey,"(40.9713785, -73.9592589)"
Clyde City-Texas,"(32.4059605, -99.4936912)"
Cobb Co Development Auth,"(33.9534146, -84.546875)"
College Park Business & IDA,"(38.9896967, -76.93776)"
Collin Co (Plano) ISD,"(33.0385002, -96.62180819999999)"
Collin Co-Texas,"(33.1795213, -96.49297969999999)"
Collinsville Illinois,"(38.6703266, -89.9845476)"
Cologne City-Minnesota,"(44.7688889, -93.7805556)"
Colonie Town-New York,"(42.7178558, -73.83345539999999)"
Colony Community Dev Corp,"(23.0083727, 72.62670419999999)"
Colorado Health Facs Authority,"(39.5500507, -105.7820674)"
Colorado Hsg & Fin Au (CHFA),"(39.5500507, -105.7820674)"
Colorado State Univ Sys Bd of,"(40.5683722, -105.0747026)"
ColoradoDeptofTransportation,"(39.7012562, -106.6828165)"
Columbus City-Minnesota,"(45.265222, -93.050153)"
Columbus City-Ohio,"(39.9611755, -82.99879419999999)"
Columbus Downtown Dev Auth,"(33.520848, -88.40619)"
Community College Dt #514,"(40.7778633, -73.7018758)"
Concord City-North Carolina,"(35.4087517, -80.579511)"
Concord-New Hampshire,"(43.2081366, -71.5375718)"
"Conecuh County, Alabama","(31.501571, -86.9824288)"
Conneaut School District,"(41.7526586, -80.365865)"
Connecticut,"(41.6032207, -73.087749)"
Connecticut Housing Finance,"(38.8975892, -77.041127)"
Connecticut Muni Electric,"(41.6032207, -73.087749)"
ContraCostaCo(Acalanes)UHSD,"(37.8416094, -122.1444248)"
ContraCostaCo(Pittsburg)USD,"(38.006524, -121.874169)"
Cook Co (Arbor Park) SD #145,"(41.576456, -87.75503390000002)"
Cook Co (Blue Island) SD #130,"(41.6533024, -87.7123355)"
Cook Co (Bremen) CHSD #228,"(41.6252707, -87.6831438)"
Cook Co (Ford Heights) SD #169,"(41.5120685, -87.590627)"
Cook Co (Hoover Schrum) SD #15,"(41.5998672, -87.54409369999999)"
Cook Co (Komarek) SD #94,"(41.8474291, -87.8476086)"
Cook Co (Mannheim) SD #83,"(41.9416667, -87.88333329999999)"
Cook Co (Riverdale) SD #133,"(41.6466667, -87.6233333)"
Cook Co-Illinois,"(41.7376587, -87.697554)"
Cook Co-Minnesota,"(47.6051056, -90.49317669999999)"
Coos Co (North Bend) SD #13,"(43.40259409999999, -124.2393073)"
Corpus Christi City-Texas,"(27.8005828, -97.39638099999999)"
Corpus Christi Reg Trans Au,"(27.8005828, -97.39638099999999)"
Corrections Corp of America,"(39.2725102, -94.8920655)"
Cottage Grove City-Minnesota,"(44.8277446, -92.9438218)"
Cottage Grove-Wisconsin,"(43.0761082, -89.19955929999999)"
"Countryside,Illinois","(41.766022, -87.87952299999999)"
Covington City-Kentucky,"(39.0836712, -84.5085536)"
Cowley Co (Central) USD #462,"(37.3187277, -96.75328329999999)"
Crab Orchard CUSD #3,"(35.9092367, -84.8780048)"
Crawford Co (Robinson) CUSD# 2,"(38.7038767, -107.6089466)"
Crawford Co-Wisconsin,"(43.2491547, -90.8294002)"
Crossville City-Tennessee,"(35.9489566, -85.0269014)"
Crow Wing Co (Onamia) ISD #480,"(46.2799671, -94.2924998)"
Cullman City BOE,"(34.180818, -86.8403798)"
Cumberland City Council,"(39.4736875, -79.05844499999999)"
Curry(Brookings-Harbor)SD#17-C,"(42.0494186, -124.2668975)"
Cuyahoga (Chagrin Falls) EVSD,"(41.4298516, -81.3910999)"
Cuyahoga Co (Beachwood) SD,"(41.4640701, -81.5146743)"
Cuyahoga Co-Ohio,"(41.433923, -81.67582)"
"Cuyahoga Falls City, Ohio","(41.1339449, -81.48455849999999)"
DC Wtr & Swr Auth,"(38.9071923, -77.0368707)"
Dadeville Wtr Works Sewage Bd,"(32.831238, -85.76356919999999)"
Daingerfield-Lone Star ISD,"(33.0154308, -94.7198088)"
Dakota County Community,"(44.7520893, -93.27139419999999)"
Dallas Co (Duncanville) ISD,"(32.6532752, -96.97426829999999)"
Dallas Co (Grand Prairie) ISD,"(32.737641, -96.9986642)"
Dallas Co (Highland Park) ISD,"(32.850092, -96.80711199999999)"
Dallas Co (Lancaster) ISD,"(32.592419, -96.757606)"
Dallas Co Schools,"(32.7656813, -96.8220844)"
Dallas ISD,"(32.1913026, -96.8783667)"
Dallas Texas,"(32.7766642, -96.79698789999999)"
Danville City-Virginia,"(36.5859718, -79.39502279999999)"
Dauphin Co-Pennsylvania,"(40.2734277, -76.7336521)"
"De Forest, Wisconsin","(43.2477685, -89.343727)"
De Kalb (Sycamore) CUSD #427,"(41.9294736, -88.75036469999999)"
De Kalb County Development,"(32.7735946, -88.66053280000001)"
De Pere City-Wisconsin,"(44.4488805, -88.0603806)"
DeSoto Co SD,"(32.5896998, -96.8570738)"
Deephaven City-Minnesota,"(44.9296853, -93.5224552)"
Deerfield Twp-Ohio,"(39.31075149999999, -84.29633919999999)"
Delaware City SD,"(39.5778901, -75.588815)"
Delaware Co (Olentangy) LSD,"(38.9108325, -75.52766989999999)"
Delaware Co Memorial Hospital,"(39.9543218, -75.2836188)"
Delaware Economic Development,"(42.27793519999999, -74.9167317)"
Deleware State Housing Auth,"(39.7435279, -75.5463018)"
Denton Co (Lewisville) ISD,"(33.0334933, -97.0090342)"
Denton Co (Northwest) ISD,"(33.030134, -97.319203)"
Denton Co ISD,"(33.2140409, -97.0826218)"
Denton Co-Texas,"(33.2148412, -97.13306829999999)"
Denver City and Co-Colorado,"(39.7392358, -104.990251)"
Denver West Metro Dt,"(39.7776813, -104.7693741)"
"Derby City, Kansas","(37.5455735, -97.2689331)"
Des Moines Area Community,"(41.5337192, -93.6245323)"
Des Moines City-Iowa,"(41.6005448, -93.6091064)"
Des Peres City-Missouri,"(38.6008862, -90.4328968)"
"Des Plaines, Illinois","(42.0333623, -87.88339909999999)"
Dewitt Public Schools,"(42.8253644, -84.5813515)"
Dickinson City-North Dakota,"(46.8791756, -102.7896242)"
Dodge Co Housing Authority,"(43.408396, -88.697611)"
Dodgeville SD,"(42.96027429999999, -90.1301237)"
Douglas Co (Roseburg) SD #4,"(43.1941563, -123.3609408)"
Douglas Co-Kansas,"(38.9107835, -95.26844369999999)"
Douglas County Development,"(33.7434238, -84.7306455)"
Douglass City-Kansas,"(37.5194642, -97.01281469999999)"
DuPage (Carol Stream) CCSD #93,"(41.91252859999999, -88.13479269999999)"
DuPage Co (Queen Bee) SD #16,"(41.9186203, -88.0851909)"
DuPage Co (Roselle) SD #12,"(41.9741972, -88.0667751)"
Dubuque City-Iowa,"(42.5005583, -90.66457179999999)"
"Duluth, Minnesota","(46.78667189999999, -92.1004852)"
Dumas City-Arkansas,"(33.8870476, -91.4917899)"
Dundee Twp-Illinois,"(42.1250261, -88.3044908)"
Dunn Co-Wisconsin,"(44.909416, -91.9099238)"
Durham Housing Authority,"(35.992697, -78.89755)"
Durham-North Carolina,"(35.9940329, -78.898619)"
"East Lansing,Michigan","(42.7369792, -84.48386540000001)"
East Orange City-New Jersey,"(40.767323, -74.2048677)"
East Peoria City-Illinois,"(40.666149, -89.5800978)"
East Prairie SD #R-II,"(38.7313721, -94.4409491)"
Eastlake City-Ohio,"(41.65393590000001, -81.4503924)"
Easton Town-Massachusetts,"(42.0245442, -71.1286594)"
Eaton Co (Potterville) PSD,"(40.5194046, -104.702515)"
Edina,"(44.8896866, -93.3499489)"
Edinburg Econ Dev Corp,"(26.3018664, -98.1638663)"
Edinburg Loc Gov Fin Corp,"(55.953252, -3.188267)"
Edison Bethune Charter Academy,"(36.7264073, -119.8184119)"
Edison Twp-New Jersey,"(40.5187154, -74.4120953)"
Effingham Co Indus Dev Auth,"(39.1200418, -88.5433829)"
El Dorado Irrigation Dt,"(38.7634315, -120.5936354)"
El Paso City-Texas,"(31.7775757, -106.4424559)"
El Paso Co (Tornillo) ISD,"(31.4461976, -106.0912737)"
El Paso Downtown Dev Corp,"(31.7609506, -106.4885337)"
Elizabeth City-New Jersey,"(40.6639916, -74.2107006)"
Elkhart Comm School Corp,"(41.5995176, -87.2740597)"
Ellis Co (Midlothian) ISD,"(32.492457, -96.996624)"
Ellis-Kansas,"(38.9380662, -99.56066690000002)"
"Ellsworth,Wisconsin","(44.7321897, -92.4874124)"
Elmore Co Board of Education,"(32.5498805, -86.22017369999999)"
Elyria City-Ohio,"(41.3683798, -82.10764859999999)"
Emeryville Successor RedevAgcy,"(37.831316, -122.2852473)"
Encinitas Public Fin Auth,"(33.0369867, -117.2919818)"
Englewood City-New Jersey,"(40.8928771, -73.9726381)"
Ennis City-Texas,"(32.3293111, -96.6252679)"
Ennis Economic Dev Corp,"(52.8474255, -8.988738399999999)"
Enterprise City-Alabama,"(31.3151708, -85.85521609999999)"
Erath Co (Stephenville) ISD,"(32.2169981, -98.23646670000001)"
Erie City-Kansas,"(37.5681066, -95.2433113)"
Erie Co (Wattsburg) ASD,"(40.0502623, -105.0499817)"
Erie Sewer Authority,"(42.0359112, -80.0401059)"
Essex Co (Moriah) CSD,"(44.048448, -73.461677)"
Essex County(NJ),"(40.7947466, -74.2648829)"
Etowah City-Tennessee,"(35.3234065, -84.5249307)"
Evansville City-Wisconsin,"(42.7802831, -89.2992838)"
Evansville-VanderburghCoBldgAu,"(37.9734318, -87.56751009999999)"
Evergreen City-Alabama,"(31.4341907, -86.9545924)"
Evergreen Park,"(41.7205889, -87.7017175)"
Evergreen-Conecuh Cp Imp Co Dt,"(31.4341907, -86.9545924)"
Fairburn City-Georgia,"(33.5670562, -84.5810418)"
Fairfax Co Economic Dev Auth,"(38.84622359999999, -77.30637329999999)"
Fairfax Co Redev&Housing Auth,"(38.84622359999999, -77.30637329999999)"
Fairfield Facilites Corp,"(38.24935809999999, -122.0399663)"
Fairview Town-Texas,"(33.1578952, -96.6316593)"
Fargo City Park Dt,"(46.8514563, -96.815664)"
Farmington City-Michigan,"(42.4644795, -83.37632180000001)"
Fayetteville City-Georgia,"(33.4487257, -84.4549262)"
Fife City-Washington,"(47.2392665, -122.3570664)"
Fishers Town-Indiana,"(39.9567548, -86.01335)"
Florence City-Colorado,"(38.3902777, -105.1185988)"
Florida Capital Trust Agency,"(27.6648274, -81.5157535)"
Florida Development Fin Corp,"(27.6648274, -81.5157535)"
Florida Governmental Utility,"(26.6062143, -81.6500975)"
Florida Housing Finance Corp,"(27.6648274, -81.5157535)"
Foley City-Alabama,"(30.4065868, -87.6835974)"
Fond du Lac Co (Ripon) ASD,"(43.7730448, -88.4470508)"
Fond du Lac SD,"(43.7730448, -88.4470508)"
"Fond du Lac,Wisconsin","(43.7730448, -88.4470508)"
Forest Grove-Oregon,"(45.5198364, -123.1106631)"
"Forest Lake,Minnesota","(45.2788561, -92.9852183)"
"Forney,Texas","(32.7481845, -96.4719312)"
Forsyth Co-Georgia,"(34.2358502, -84.14351359999999)"
Fort Lauderdale City-Florida,"(26.1224386, -80.13731740000001)"
Fort Myers City-Florida,"(26.640628, -81.8723084)"
Fort Payne-Alabama,"(34.4442547, -85.7196893)"
Fort Worth City-Texas,"(32.7554883, -97.3307658)"
Fox Lake Village-Illinois,"(42.3966874, -88.1836965)"
Frankfort Indiana,"(40.2794809, -86.5108355)"
Franklin Co (Benton) SD #103,"(37.9983038, -88.9207327)"
Franklin Co (Malone) CSD,"(44.847206, -74.28796)"
Franklin Co(Gahanna-Jefferson),"(40.0193513, -82.79236929999999)"
Franklin Co-Illinois,"(38.0157197, -88.90306)"
Franklin Co-Tennessee,"(35.1946865, -86.05296039999999)"
Franklin Co-Washington,"(38.55810719999999, -91.01208779999999)"
FranklinCoPublicUtilityDt#1,"(46.2292574, -119.1066149)"
Frederick Co-Maryland,"(39.3844507, -77.4701972)"
Fresno Co USD,"(36.7363132, -119.7928018)"
Frisco City-Texas,"(33.1506744, -96.82361159999999)"
Fullerton City-California,"(33.8703596, -117.9242966)"
Fulton Co CUSD #97,"(38.2484759, -89.752207)"
GROWTH,"(32.7698091, 130.72356)"
Galveston Co (Clear Creek) ISD,"(29.4937244, -95.08245459999999)"
Garden City-Kansas,"(37.9716898, -100.8726618)"
Gardena Financing Agency,"(33.8883487, -118.3089624)"
Garfield Co (Parachute) SD #16,"(39.4348354, -108.0324365)"
Garfield Co SD #RE-2,"(39.5372608, -107.7813289)"
Garza Co (Post) ISD,"(33.202699, -101.3402465)"
Genesee Co (Lakeville) CSD,"(39.6858211, -105.2727684)"
Genesee Co-Michigan,"(43.0777289, -83.67739279999999)"
Georgetown Town-Massachusetts,"(42.7250918, -70.99116590000001)"
Georgetown-Ridge Farm CUSD #4,"(30.6332618, -97.6779842)"
Georgia,"(32.1656221, -82.9000751)"
Georgia Municipal Gas Auth,"(32.1656221, -82.9000751)"
Gilbert City-Minnesota,"(47.4888156, -92.46490519999999)"
Glastonbury Town-Connecticut,"(41.6861794, -72.5450779)"
Glen Carbon Village-Illinois,"(38.7483814, -89.98315799999999)"
Glen Cove City-New York,"(40.8623217, -73.6337389)"
"Glencoe, Minnesota","(44.7690437, -94.15175239999999)"
Glendale City-Arizona,"(33.5386523, -112.1859866)"
Glendale Muni Property Corp,"(34.1425078, -118.255075)"
Glenview Village-Illinois,"(42.0697509, -87.7878408)"
Gloucester City-New Jersey,"(39.8917799, -75.1162863)"
Gloucester Co PC Fin Authority,"(51.8642449, -2.238156)"
Godfrey Village-Illinois,"(38.9556031, -90.1867764)"
Goldsboro City-North Carolina,"(35.3848841, -77.9927651)"
Goodhue Co-Minnesota,"(44.4430251, -92.6983868)"
Government of Guam,"(13.4767279, 144.7651497)"
Grafton Village-Wisconsin,"(43.3197265, -87.9534226)"
Graham City-Texas,"(33.1070597, -98.589502)"
Grain Valley City-Missouri,"(39.0150069, -94.19855799999999)"
Grand Rapids City-Minnesota,"(47.2371658, -93.53021419999999)"
Grant Co Public Utility Dt #2,"(39.45996239999999, -105.663073)"
Grapevine 4B Economic Dev Corp,"(32.9342919, -97.0780654)"
Gray (Cimarron-Ensign) USD#102,"(37.8066882, -100.3482003)"
Graysville City-Alabama,"(33.6206611, -86.97138439999999)"
Great Falls City-Montana,"(47.4941836, -111.2833449)"
Green Bay Redevelopment Auth,"(44.51915899999999, -88.019826)"
"Green Bay, Wisconsin","(44.51915899999999, -88.019826)"
